Year,State,Key,Region name,Active participants,Poppulation,Normalised Active Participants
2020,ACT,801,Australian Capital Territory,8142,412025,198
2020,NSW,119,Sydney - Inner South West,8227,611111,135
2020,NSW,125,Sydney - Parramatta,7147,481486,148
2020,NSW,127,Sydney - South West,7556,433039,174
2020,NSW,121,Sydney - North Sydney and Hornsby,4009,431365,93
2020,NSW,111,Newcastle and Lake Macquarie,10246,372516,275
2020,NSW,116,Sydney - Blacktown,6882,360420,191
2020,NSW,117,Sydney - City and Inner South,3079,349046,88
2020,NSW,102,Central Coast,7839,339442,231
2020,NSW,124,Sydney - Outer West and Blue Mountains,7240,319258,227
2020,NSW,120,Sydney - Inner West,3053,314231,97
2020,NSW,107,Illawarra,5716,306795,186
2020,NSW,118,Sydney - Eastern Suburbs,2416,289775,83
2020,NSW,123,Sydney - Outer South West,6058,276174,219
2020,NSW,106,Hunter Valley exc Newcastle,7511,272630,276
2020,NSW,122,Sydney - Northern Beaches,2745,268870,102
2020,NSW,112,Richmond - Tweed,5345,248630,215
2020,NSW,115,Sydney - Baulkham Hills and Hawkesbury,2983,241029,124
2020,NSW,128,Sydney - Sutherland,2875,227146,127
2020,NSW,101,Capital Region,4352,225797,193
2020,NSW,108,Mid North Coast,5557,218360,254
2020,NSW,103,Central West,4202,211356,199
2020,NSW,126,Sydney - Ryde,2409,194527,124
2020,NSW,110,New England and North West,3610,186305,194
2020,NSW,113,Riverina,3123,160156,195
2020,NSW,114,Southern Highlands and Shoalhaven,3185,152584,209
2020,NSW,104,Coffs Harbour - Grafton,3040,140150,217
2020,NSW,109,Murray,2589,118977,218
2020,NSW,105,Far West and Orana,2388,116761,205
2020,NT,702,Northern Territory - Outback,1597,98598,162
2020,NT,701,Darwin,2241,148919,150
2020,QLD,315,Queensland - Outback,955,82186,116
2020,QLD,309,Gold Coast,8552,606073,141
2020,QLD,316,Sunshine Coast,5886,365764,161
2020,QLD,303,Brisbane - South,4695,363783,129
2020,QLD,310,Ipswich,7558,342444,221
2020,QLD,311,Logan - Beaudesert,6012,335006,179
2020,QLD,319,Wide Bay,7405,294337,252
2020,QLD,305,Brisbane Inner City,2722,273624,99
2020,QLD,306,Cairns,3749,249671,150
2020,QLD,313,Moreton Bay - North,5240,247397,212
2020,QLD,318,Townsville,5021,235634,213
2020,QLD,301,Brisbane - East,3869,234582,165
2020,QLD,308,Central Queensland,4583,225302,203
2020,QLD,302,Brisbane - North,3248,218454,149
2020,QLD,314,Moreton Bay - South,3343,207827,161
2020,QLD,304,Brisbane - West,2343,189400,124
2020,QLD,312,Mackay - Isaac - Whitsunday,2911,172557,169
2020,QLD,317,Toowoomba,3675,154805,237
2020,QLD,307,Darling Downs - Maranoa,2169,128783,168
2020,SA,406,South Australia - Outback,1666,85127,196
2020,SA,402,Adelaide - North,12336,434336,284
2020,SA,403,Adelaide - South,8367,365104,229
2020,SA,401,Adelaide - Central and Hills,4736,300017,158
2020,SA,404,Adelaide - West,4850,234981,206
2020,SA,407,South Australia - South East,3900,190793,204
2020,SA,405,Barossa - Yorke - Mid North,2334,113565,206
2020,TAS,603,South East,478,38062,126
2020,TAS,601,Hobart,4248,229260,185
2020,TAS,602,Launceston and North East,2809,143815,195
2020,TAS,604,West and North West,2332,111273,210
2020,VIC,212,Melbourne - South East,13502,818212,165
2020,VIC,213,Melbourne - West,14669,791104,185
2020,VIC,206,Melbourne - Inner,6871,658882,104
2020,VIC,209,Melbourne - North East,9923,533165,186
2020,VIC,211,Melbourne - Outer East,10161,525721,193
2020,VIC,208,Melbourne - Inner South,5381,432935,124
2020,VIC,210,Melbourne - North West,8152,393316,207
2020,VIC,207,Melbourne - Inner East,4836,386041,125
2020,VIC,214,Mornington Peninsula,6288,304552,206
2020,VIC,203,Geelong,8469,293975,288
2020,VIC,205,Latrobe - Gippsland,6539,279310,234
2020,VIC,204,Hume,3888,174580,223
2020,VIC,201,Ballarat,3914,162339,241
2020,VIC,202,Bendigo,4402,157806,279
2020,VIC,215,North West,3380,152073,222
2020,VIC,216,Shepparton,3072,132892,231
2020,VIC,217,Warrnambool and South West,2914,124703,234
2020,WA,510,Western Australia - Outback (North),1142,97506,117
2020,WA,505,Perth - North West,7214,560831,129
2020,WA,506,Perth - South East,7409,510653,145
2020,WA,507,Perth - South West,6428,423839,152
2020,WA,504,Perth - North East,5038,262253,192
2020,WA,501,Bunbury,3128,181052,173
2020,WA,503,Perth - Inner,1676,179755,93
2020,WA,509,Western Australia - Wheat Belt,1785,137641,130
2020,WA,511,Western Australia - Outback (South),1350,120092,112
