Year,State,Key,Region name,Active participants
2024,ACT,801,Australian Capital Territory,10928
2024,NSW,101,Capital Region,5925
2024,NSW,102,Central Coast,11142
2024,NSW,103,Central West,6005
2024,NSW,104,Coffs Harbour - Grafton,4501
2024,NSW,105,Far West and Orana,3533
2024,NSW,106,Hunter Valley exc Newcastle,11105
2024,NSW,107,Illawarra,8276
2024,NSW,108,Mid North Coast,8201
2024,NSW,109,Murray,3855
2024,NSW,110,New England and North West,5142
2024,NSW,111,Newcastle and Lake Macquarie,13785
2024,NSW,112,Richmond - Tweed,7751
2024,NSW,113,Riverina,4444
2024,NSW,114,Southern Highlands and Shoalhaven,4211
2024,NSW,115,Sydney - Baulkham Hills and Hawkesbury,4569
2024,NSW,116,Sydney - Blacktown,10897
2024,NSW,117,Sydney - City and Inner South,4456
2024,NSW,118,Sydney - Eastern Suburbs,3632
2024,NSW,119,Sydney - Inner South West,11852
2024,NSW,120,Sydney - Inner West,4307
2024,NSW,121,Sydney - North Sydney and Hornsby,5785
2024,NSW,122,Sydney - Northern Beaches,3864
2024,NSW,123,Sydney - Outer South West,9381
2024,NSW,124,Sydney - Outer West and Blue Mountains,10437
2024,NSW,125,Sydney - Parramatta,10458
2024,NSW,126,Sydney - Ryde,3359
2024,NSW,127,Sydney - South West,11584
2024,NSW,128,Sydney - Sutherland,4393
2024,NSW,801,Australian Capital Territory,0
2024,NSW,901,Other Territories,12
2024,NT,315,Queensland - Outback,0
2024,NT,406,South Australia - Outback,49
2024,NT,510,Western Australia - Outback (North),0
2024,NT,511,Western Australia - Outback (South),15
2024,NT,701,Darwin,3519
2024,NT,702,Northern Territory - Outback,2438
2024,OT,901,Other Territories,68
2024,QLD,301,Brisbane - East,6674
2024,QLD,302,Brisbane - North,5354
2024,QLD,303,Brisbane - South,7749
2024,QLD,304,Brisbane - West,3968
2024,QLD,305,Brisbane Inner City,4501
2024,QLD,306,Cairns,6404
2024,QLD,307,Darling Downs - Maranoa,3469
2024,QLD,308,Central Queensland,7654
2024,QLD,309,Gold Coast,14882
2024,QLD,310,Ipswich,12718
2024,QLD,311,Logan - Beaudesert,12223
2024,QLD,312,Mackay - Isaac - Whitsunday,4333
2024,QLD,313,Moreton Bay - North,9766
2024,QLD,314,Moreton Bay - South,6307
2024,QLD,315,Queensland - Outback,1681
2024,QLD,316,Sunshine Coast,10330
2024,QLD,317,Toowoomba,5348
2024,QLD,318,Townsville,7402
2024,QLD,319,Wide Bay,11519
2024,QLD,702,Northern Territory - Outback,0
2024,SA,401,Adelaide - Central and Hills,7099
2024,SA,402,Adelaide - North,18826
2024,SA,403,Adelaide - South,12226
2024,SA,404,Adelaide - West,7077
2024,SA,405,Barossa - Yorke - Mid North,3377
2024,SA,406,South Australia - Outback,2378
2024,SA,407,South Australia - South East,5748
2024,TAS,601,Hobart,6182
2024,TAS,602,Launceston and North East,4073
2024,TAS,603,South East,792
2024,TAS,604,West and North West,3097
2024,VIC,201,Ballarat,5714
2024,VIC,202,Bendigo,6579
2024,VIC,203,Geelong,11748
2024,VIC,204,Hume,5599
2024,VIC,205,Latrobe - Gippsland,9444
2024,VIC,206,Melbourne - Inner,10401
2024,VIC,207,Melbourne - Inner East,6623
2024,VIC,208,Melbourne - Inner South,8178
2024,VIC,209,Melbourne - North East,15069
2024,VIC,210,Melbourne - North West,13135
2024,VIC,211,Melbourne - Outer East,14304
