ReportDte,StateCd,SA4Cd2016,SA4Nm2016,PrtcpntCnt
30-Jun-24,ACT,-,Other,0
30-Jun-24,ACT,801,Australian Capital Territory,10928
30-Jun-24,MIS,-,Other,26
30-Jun-24,NSW,-,Other,0
30-Jun-24,NSW,101,Capital Region,5925
30-Jun-24,NSW,102,Central Coast,11142
30-Jun-24,NSW,103,Central West,6005
30-Jun-24,NSW,104,Coffs Harbour - Grafton,4501
30-Jun-24,NSW,105,Far West and Orana,3533
30-Jun-24,NSW,106,Hunter Valley exc Newcastle,11105
30-Jun-24,NSW,107,Illawarra,8276
30-Jun-24,NSW,108,Mid North Coast,8201
30-Jun-24,NSW,109,Murray,3855
30-Jun-24,NSW,110,New England and North West,5142
30-Jun-24,NSW,111,Newcastle and Lake Macquarie,13785
30-Jun-24,NSW,112,Richmond - Tweed,7751
30-Jun-24,NSW,113,Riverina,4444
30-Jun-24,NSW,114,Southern Highlands and Shoalhaven,4211
30-Jun-24,NSW,115,Sydney - Baulkham Hills and Hawkesbury,4569
30-Jun-24,NSW,116,Sydney - Blacktown,10897
30-Jun-24,NSW,117,Sydney - City and Inner South,4456
30-Jun-24,NSW,118,Sydney - Eastern Suburbs,3632
30-Jun-24,NSW,119,Sydney - Inner South West,11852
30-Jun-24,NSW,120,Sydney - Inner West,4307
30-Jun-24,NSW,121,Sydney - North Sydney and Hornsby,5785
30-Jun-24,NSW,122,Sydney - Northern Beaches,3864
30-Jun-24,NSW,123,Sydney - Outer South West,9381
30-Jun-24,NSW,124,Sydney - Outer West and Blue Mountains,10437
30-Jun-24,NSW,125,Sydney - Parramatta,10458
30-Jun-24,NSW,126,Sydney - Ryde,3359
30-Jun-24,NSW,127,Sydney - South West,11584
30-Jun-24,NSW,128,Sydney - Sutherland,4393
30-Jun-24,NSW,801,Australian Capital Territory,0
30-Jun-24,NSW,901,Other Territories,12
30-Jun-24,NT,-,Other,0
30-Jun-24,NT,315,Queensland - Outback,0
30-Jun-24,NT,406,South Australia - Outback,49
30-Jun-24,NT,510,Western Australia - Outback (North),0
30-Jun-24,NT,511,Western Australia - Outback (South),15
30-Jun-24,NT,701,Darwin,3519
30-Jun-24,NT,702,Northern Territory - Outback,2438
30-Jun-24,OT,901,Other Territories,68
30-Jun-24,QLD,-,Other,0
30-Jun-24,QLD,301,Brisbane - East,6674
30-Jun-24,QLD,302,Brisbane - North,5354
30-Jun-24,QLD,303,Brisbane - South,7749
